rule,sourceType,sourceFile,sourceRow,partyName,currency,direction,rawBalance,ourRefNo,sourceInternalId
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,370,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009249,16973
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,370,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009249,16973
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,371,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009259,16972
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,371,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009259,16972
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,372,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009278,16971
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,372,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009278,16971
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,373,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009235,16970
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,373,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009235,16970
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,375,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009203,16968
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,375,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009203,16968
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,378,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEOI009272,16965
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,379,EXCELSIOR FLOORING,CAD,settled,0,PEOI009273,16964
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,381,AMOREPACIFIC CANADA INC(5,CAD,settled,0,PEOI009272,16962
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,382,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEOI009272,16961
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,383,AMOREPACIFIC CANADA INC(5,CAD,settled,0,PEOI009272,16960
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,384,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEAI008772,16959
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,385,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009155,16958
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,385,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009155,16958
